,plc,horse,jockey,trainer,draw,gear,lbw,runningpos,time,comment,date,distance,going,raceno,venue,course,result,horse_ch,jockey_ch,trainer_ch,result_ch,comment_ch,going_ch,venue_ch,course_ch
0,5,A BEAUTIFUL(T421),B Prebble,W Y So,01,,4-3/4L,7 7 5,0.57.93,Ran on ok when asked late.,2015-09-22,1000,GOOD,1,SHA TIN,TURF,Passed,喜得福 (T421),柏寶,蘇偉賢,及格,末段稍騎，反應不差,好地,沙田,草地
1,3,A BEAUTIFUL(T421),B Prebble,W Y So,06,,5-3/4L,5 5 3,1.02.95,Slow to begin; made progress by saving ground for 3rd.,2015-10-09,200,GOOD,12,SHA TIN,TURF,Passed,喜得福 (T421),柏寶,蘇偉賢,及格,"起步稍慢, 慳住追上",好地,沙田,草地
2,10,A BEAUTIFUL(T421),B Prebble,W Y So,10,,3-1/4L,8 8 10,1.02.26,Ran on ordinary when asked at 200m.,2015-09-08,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,Failed,喜得福 (T421),柏寶,蘇偉賢,不及格,"二百考驗, 反應普通",好地,沙田,全天候賽道
3,9,A BEAUTIFUL(T421),H N Wong,W Y So,01,H,10-3/4L,5 4 9,1.11.72,Raced along the rail; flattened late.,2015-12-15,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,喜得福 (T421),黃皓楠,蘇偉賢,,"沿欄順走, 末段勁平",好地,沙田,全天候賽道
4,3,A BEAUTIFUL(T421),H W Lai,W Y So,04,B,2-1/4L,7 4 3,1.02.28,Wide at turn; came home strong for 3rd.,2016-06-03,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,Passed,喜得福 (T421),黎海榮,蘇偉賢,及格,"蝕位轉彎, 自動湧上",好地,沙田,全天候賽道
5,5,A BEAUTIFUL(T421),O Murphy,W Y So,03,B,5-1/2L,4 3 5,1.02.14,Wide throughout; not fully tested.,2017-01-20,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,喜得福 (T421),莫艾誠,蘇偉賢,,"沿途蝕位, 未見真章",好地,沙田,全天候賽道
6,4,A BEAUTIFUL(T421),S de Sousa,W Y So,03,B,4-3/4L,6 5 4,1.10.21,Made progress under a hold; impressive.,2016-12-20,500,GOOD,5,SHA TIN,TURF,,喜得福 (T421),蘇兆輝,蘇偉賢,,"按住上前, 惹人好感",好地,沙田,草地
7,1,A BEAUTIFUL(T421),T H So,W Y So,04,B,,1 1 1,1.10.68,Showed good early pace; won convincingly.,2016-11-25,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,Passed,喜得福 (T421),蘇狄雄,蘇偉賢,及格,"前快後強, 有餘未盡",好地,沙田,全天候賽道
8,1,A BEAUTIFUL(T421),Z Purton,W Y So,05,B,,5 5 1,1.02.93,Taken back early; shifted out in the Straight; hit the line strongly to score.,2016-08-31,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,喜得福 (T421),潘頓,蘇偉賢,,刻意拖後，直路移出，勁勢上前,好地,沙田,全天候賽道
9,6,A FAST ONE(S424),A Suborics,D E Ferraris,07,,8-1/2L,1 2 6,1.03.70,On-pace early; weakened badly in the straight.,2015-12-18,200,GOOD,7,HAPPY VALLEY,TURF,,快趣的 (S424),薛寶力,霍利時,,早段唔慢，直路散晒,好地,跑馬地,草地
10,1,A FAST ONE(S424),D Whyte,D E Ferraris,09,B,,3 2 1,1.10.21,On pace and one-off; quickened to score.,2017-02-07,800,GOOD,10,SHA TIN,TURF,Passed,快趣的 (S424),韋達,霍利時,及格,"二疊跟前, 加速取勝",好地,沙田,草地
11,7,A SHIN HOOF(A181),S Clipperton,W Y So,04,H,18-1/4L,7 7 7,0.49.52,Slow to begin; never in contention.,2017-03-21,1000,GOOD,5,SHA TIN,TURF,Failed,榮進好蹄 (A181),祈普敦,蘇偉賢,不及格,出閘最慢，從未參予競逐,好地,沙田,草地
12,8,A SHIN HOOF(A181),S Clipperton,W Y So,04,H,13-3/4L,6 8 8,1.00.70,No progress when being niggled along early.,2017-04-11,500,GOOD,5,SHA TIN,TURF,Failed,榮進好蹄 (A181),祈普敦,蘇偉賢,不及格,一早已騎，毫無進展,好地,沙田,草地
13,3,A SHIN HOOF(A181),S Clipperton,W Y So,04,H,6L,4 3 3,0.47.34,Ran on for 3rd when asked.,2017-04-25,1000,GOOD,5,SHA TIN,TURF,Passed,榮進好蹄 (A181),祈普敦,蘇偉賢,及格,認真考驗，追回一席,好地,沙田,草地
14,6,A STAR LUSTER(A259),K C Leung,K L Man,03,,7L,7 6 6,0.47.50,Slow to begin; under a hold and not fully tested.,2017-04-25,1000,GOOD,5,SHA TIN,TURF,Failed,歡樂農 (A259),梁家俊,文家良,不及格,出閘緩慢，按住未試,好地,沙田,草地
15,8,A STAR LUSTER(A259),K C Leung,K L Man,04,,5L,11 9 8,0.59.57,Lifted its feet on jumping; raced greenly.,2017-05-09,1000,GOOD,4,SHA TIN,TURF,Failed,歡樂農 (A259),梁家俊,文家良,不及格,出閘起擒，走勢稚嫩,好地,沙田,草地
16,6,A STAR LUSTER(A259),K C Leung,K L Man,06,SR,8L,7 6 6,1.00.68,Began moderately; raced greenly.,2017-05-19,200,GOOD,8,HAPPY VALLEY,TURF,Passed,歡樂農 (A259),梁家俊,文家良,及格,起步一般，走勢仍嫩,好地,跑馬地,草地
17,8,ABLE DEED(V136),C W Wong,J Moore,07,B,10L,3 5 8,1.12.58,Four wide throughout; not fully tested.,2016-01-26,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,步步德 (V136),王志偉,約翰摩亞,,全程四疊，未受考驗,好地,沙田,全天候賽道
18,4,ABLE DEED(V136),D Whyte,J Moore,03,CP,4-1/2L,3 3 4,1.11.07,On pace early; kept on in the Straight.,2016-08-30,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,步步德 (V136),韋達,約翰摩亞,,"前列跟跑, 直路保持走勢",好地,沙田,全天候賽道
19,6,ABLE DEED(V136),N Rawiller,J Moore,04,,3-1/2L,2 4 6,0.47.30,On-pace early; flattened late.,2015-11-17,400,GOOD,3,SHA TIN,TURF,Passed,步步德 (V136),羅理雅,約翰摩亞,及格,早段唔慢，末段勁平,好地,沙田,草地
20,8,ABLE DEED(V136),N Rawiller,J Moore,10,B,5-1/4L,5 8 8,0.59.26,In traffic early; weakened late.,2015-12-01,300,GOOD,3,SHA TIN,TURF,,步步德 (V136),羅理雅,約翰摩亞,,早段受困，拉士乏力,好地,沙田,草地
21,7,ABLE DEED(V136),S Clipperton,J Moore,05,CP,2-1/2L,4 3 7,1.11.35,Up with the pace; limited response when asked late.,2016-11-11,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,步步德 (V136),祈普敦,約翰摩亞,,早段唔慢，拉士騎落唔多,好地,沙田,全天候賽道
22,6,ABLE DEED(V136),Z Purton,J Moore,05,CP,7-1/2L,5 5 6,1.12.24,Settled at rear; not fully tested.,2016-06-07,400,GOOD,2,SHA TIN,TURF,,步步德 (V136),潘頓,約翰摩亞,,居後跟跑，拖住未試,好地,沙田,草地
23,1,ABLE FRIEND(P303),J Moreira,J Moore,01,CP,,4 2 1,0.58.81,Made ground steadily to score; moved better than before.,2017-01-03,1000,GOOD,1,SHA TIN,TURF,,步步友 (P303),莫雷拉,約翰摩亞,,"逐步加快, 重現生氣",好地,沙田,草地
24,2,ABLE FRIEND(P303),J Moreira,J Moore,02,CP,11-1/4L,4 4 2,0.59.27,Hit the line strongly for 2nd when let go late.,2017-02-14,1000,GOOD,1,SHA TIN,TURF,,步步友 (P303),莫雷拉,約翰摩亞,,拉士一鬆，大步湧上,好地,沙田,草地
