,appear_cum,date,jockey,top2_cum,top2_rate,top3_cum,top3_rate,trainer,win_cum,win_rate
0,0,2015-06-03,A Suborics,0,0.0,0,0.0,,0,0.0
1,0,2015-06-03,B Prebble,0,0.0,0,0.0,,0,0.0
2,0,2015-06-03,C K Tong,0,0.0,0,0.0,,0,0.0
3,0,2015-06-03,C Y Ho,0,0.0,0,0.0,,0,0.0
4,0,2015-06-03,D Lane,0,0.0,0,0.0,,0,0.0
5,0,2015-06-03,D Whyte,0,0.0,0,0.0,,0,0.0
6,0,2015-06-03,G Mosse,0,0.0,0,0.0,,0,0.0
7,0,2015-06-03,H N Wong,0,0.0,0,0.0,,0,0.0
8,0,2015-06-03,H W Lai,0,0.0,0,0.0,,0,0.0
9,0,2015-06-03,K C Leung,0,0.0,0,0.0,,0,0.0
10,0,2015-06-03,K Teetan,0,0.0,0,0.0,,0,0.0
11,0,2015-06-03,M Chadwick,0,0.0,0,0.0,,0,0.0
12,0,2015-06-03,M L Yeung,0,0.0,0,0.0,,0,0.0
13,0,2015-06-03,N Callan,0,0.0,0,0.0,,0,0.0
14,0,2015-06-03,N Rawiller,0,0.0,0,0.0,,0,0.0
15,0,2015-06-03,O Doleuze,0,0.0,0,0.0,,0,0.0
16,0,2015-06-03,T H So,0,0.0,0,0.0,,0,0.0
17,0,2015-06-03,W M Lai,0,0.0,0,0.0,,0,0.0
18,0,2015-06-03,Y T Cheng,0,0.0,0,0.0,,0,0.0
19,7,2015-06-07,A Suborics,2,0.2857142857142857,3,0.42857142857142855,,0,0.0
20,7,2015-06-07,B Prebble,2,0.2857142857142857,2,0.2857142857142857,,1,0.14285714285714285
21,1,2015-06-07,C K Tong,0,0.0,0,0.0,,0,0.0
22,6,2015-06-07,C Y Ho,2,0.3333333333333333,3,0.5,,2,0.3333333333333333
23,3,2015-06-07,D Lane,0,0.0,0,0.0,,0,0.0
24,6,2015-06-07,D Whyte,1,0.16666666666666666,1,0.16666666666666666,,1,0.16666666666666666
25,7,2015-06-07,G Mosse,1,0.14285714285714285,1,0.14285714285714285,,1,0.14285714285714285
26,3,2015-06-07,H N Wong,1,0.3333333333333333,2,0.6666666666666666,,0,0.0
27,5,2015-06-07,H W Lai,1,0.2,1,0.2,,1,0.2
