,row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,lbw,runningpos,finishtime,winodds,date,raceno,class,distance,going,handicap,course,stake,venue,horse_ch,jockey_ch,trainer_ch,class_ch,going_ch,handicap_ch,course_ch,venue_ch
0,0,1,10.0,NATURAL EIGHT(S243),C Y Ho,C Fownes,119.0,1037.0,1.0,-,4 3 1,1.10.19,3.5,2015-06-03,1,5,1200,GOOD TO FIRM,MOUNT BUTLER HANDICAP,TURF - A COURSE,575000,Happy Valley,威百利(S243),何澤堯,方嘉柏,1,好地至快地,畢拿山讓賽,草地 - A 賽道,跑馬地
1,0,1,7.0,SOLAR HEI HEI(T242),B Prebble,D J Hall,125.0,1077.0,11.0,-,9 8 1,1.09.06,2.3,2015-06-07,1,4,1200,GOOD TO FIRM,HKU FOUNDATION HANDICAP,TURF - A+3 COURSE,760000,Sha Tin,太陽喜喜(T242),柏寶,賀賢,1,好地至快地,香港大學基金讓賽,草地 - A+3 賽道,沙田
2,0,1,3.0,GRAN BOLIVAR(S165),H N Wong,Y S Tsui,121.0,950.0,9.0,-,1 1 1,1.09.64,32.0,2015-06-10,1,4,1200,GOOD TO FIRM,LAI ON HANDICAP,TURF - B COURSE,760000,Happy Valley,王將(S165),黃皓楠,徐雨石,1,好地至快地,麗安讓賽,草地 - B 賽道,跑馬地
3,0,1,11.0,PEOPLE'S KNIGHT(T305),G Mosse,J Moore,120.0,1149.0,4.0,-,4 4 1,1.09.70,6.6,2015-06-14,1,1,1200,GOOD TO FIRM,BREGUET PLATE,TURF - B+2 COURSE,800000,Sha Tin,人民武士(T305),巫斯義,約翰摩亞,1,好地至快地,ＢＲＥＧＵＥＴ平磅賽,草地 - B+2 賽道,沙田
4,0,1,2.0,SIR JOHN(P344),B Prebble,W Y So,131.0,1158.0,10.0,-,1 1 1,0.56.90,6.8,2015-06-17,1,5,1000,GOOD TO FIRM,WANG TAK HANDICAP,TURF - C COURSE,575000,Happy Valley,至尊駿爵(P344),柏寶,蘇偉賢,1,好地至快地,宏德讓賽,草地 - C 賽道,跑馬地
5,0,1,10.0,BAMBOO DANCE(M327),J Moreira,D J Hall,120.0,1155.0,6.0,-,9 9 8 1,1.34.60,2.4,2015-06-21,1,5,1600,GOOD,BEIJING CLUBHOUSE HANDICAP,TURF - C COURSE,575000,Sha Tin,團圓飛舞(M327),莫雷拉,賀賢,1,好地,北京會所讓賽,草地 - C 賽道,沙田
6,0,1,8.0,SUPER STRIKE(L393),A Suborics,A Schutz,125.0,1057.0,9.0,-,8 10 10 4 2 1,2.16.49,11.0,2015-06-24,1,5,2200,GOOD,NG FONG HANDICAP,TURF - C+3 COURSE,575000,Happy Valley,好球(L393),薛寶力,孫達志,2,好地,五芳讓賽,草地 - C+3 賽道,跑馬地
7,0,1,4.0,HELEN'S CHOICE(P185),M L Yeung,K W Lui,126.0,1191.0,12.0,-,9 10 1,1.09.52,23.0,2015-06-27,1,5,1200,GOOD,CHAI WAN ROAD HANDICAP,ALL WEATHER TRACK,575000,Sha Tin,執子之手(P185),楊明綸,呂健威,1,好地,柴灣道讓賽,全天候跑道,沙田
8,0,1,5.0,NEW ASIA SUNRISE(T268),B Prebble,Y S Tsui,127.0,990.0,5.0,-,5 4 1,1.10.16,1.6,2015-07-01,1,1,1200,GOOD TO FIRM,"ONE COUNTRY, TWO SYSTEMS PLATE",TURF - A COURSE,800000,Sha Tin,一片光明(T268),柏寶,徐雨石,1,好地至快地,一國兩制平磅賽,草地 - A 賽道,沙田
9,0,1,3.0,PEOPLE'S KNIGHT(T305),G Mosse,J Moore,127.0,1162.0,1.0,-,3 3 3 1,1.24.89,1.2,2015-07-05,1,1,1400,GOOD TO FIRM,YUNG SHUE O PLATE,TURF - A+3 COURSE,800000,Sha Tin,人民武士(T305),巫斯義,約翰摩亞,1,好地至快地,榕樹澳平磅賽,草地 - A+3 賽道,沙田
10,0,1,6.0,BETTER ANNOUNCE(N254),G Mosse,P F Yiu,128.0,1150.0,3.0,-,2 1 1 1,1.40.34,8.1,2015-07-08,1,5,1650,GOOD TO FIRM,BULLDOZER HANDICAP,TURF - A COURSE,575000,Happy Valley,跑贏大市(N254),巫斯義,姚本輝,1,好地至快地,我來也讓賽,草地 - A 賽道,跑馬地
11,0,1,4.0,BAMBOO DANCE(M327),J Moreira,D J Hall,127.0,1154.0,10.0,-,12 13 13 12 1,1.47.89,2.3,2015-07-12,1,5,1800,GOOD TO FIRM,PLANET RULER HANDICAP,TURF - B+2 COURSE,575000,Sha Tin,團圓飛舞(M327),莫雷拉,賀賢,1,好地至快地,紅旗飛揚讓賽,草地 - B+2 賽道,沙田
12,0,1,3.0,MAGICAL BEAM(N208),N Rawiller,A Schutz,132.0,1065.0,13.0,-,11 11 1,1.09.96,12.0,2015-09-06,1,5,1200,GOOD,TIM MEI HANDICAP,TURF - B COURSE,600000,Sha Tin,威祥(N208),羅理雅,孫達志,1,好地,添美讓賽,草地 - B 賽道,沙田
13,0,1,4.0,IDYLLIC WIND(N139),D Whyte,T K Ng,128.0,1186.0,7.0,-,5 5 1,0.58.51,2.6,2015-09-09,1,5,1000,GOOD,SOUTH BAY HANDICAP,TURF - A COURSE,600000,Happy Valley,有情風(N139),韋達,吳定強,1,好地,南灣讓賽,草地 - A 賽道,跑馬地
14,0,1,9.0,ZACHARY(N146),J Moreira,A Schutz,118.0,1144.0,4.0,-,4 3 2 1,1.35.28,2.1,2015-09-13,1,5,1600,GOOD TO FIRM,CHAOZHOU HANDICAP,TURF - C COURSE,600000,Sha Tin,晨采(N146),莫雷拉,孫達志,1,好地至快地,潮州讓賽,草地 - C 賽道,沙田
15,0,1,7.0,NOVEL START(M255),D Whyte,T K Ng,118.0,1068.0,9.0,-,8 7 1,1.11.01,13.0,2015-09-16,1,5,1200,GOOD,CHEUNG HONG HANDICAP,TURF - B COURSE,600000,Happy Valley,元豐泰(M255),韋達,吳定強,1,好地,長康讓賽,草地 - B 賽道,跑馬地
16,0,1,9.0,CHANS DELIGHT(P420),J Moreira,D Cruz,115.0,1075.0,8.0,-,3 4 1,1.10.42,5.5,2015-10-14,1,5,1200,GOOD,HEUNG YIP HANDICAP,TURF - B COURSE,600000,Happy Valley,齊齊歡欣(P420),莫雷拉,告達理,1,好地,香葉讓賽,草地 - B 賽道,跑馬地
17,0,1,6.0,DANCING FLAMES(V005),C Schofield,C S Shum,125.0,1116.0,1.0,-,1 1 1,0.56.51,3.0,2015-10-18,1,4,1000,GOOD TO FIRM,CHUEN LUNG HANDICAP,TURF - C+3 COURSE,800000,Sha Tin,港林飛魚(V005),史卓豐,沈集成,1,好地至快地,川龍讓賽,草地 - C+3 賽道,沙田
18,0,1,3.0,IDYLLIC WIND(N139),D Whyte,T K Ng,131.0,1207.0,2.0,-,4 4 1,0.58.34,3.1,2015-10-22,1,5,1000,GOOD,WA MEI SHAN HANDICAP,TURF - C+3 COURSE,600000,Happy Valley,有情風(N139),韋達,吳定強,1,好地,畫眉山讓賽,草地 - C+3 賽道,跑馬地
19,0,1,3.0,LIGHTNING AND GOLD(P354),B Prebble,C H Yip,131.0,1049.0,3.0,-,8 8 7 1,1.35.44,4.2,2015-10-25,1,5,1600,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,TURF - A COURSE,600000,Sha Tin,神電金剛(P354),柏寶,葉楚航,1,好地至快地,ＢＵＬＧＡＲＩ卓越讓賽,草地 - A 賽道,沙田
20,0,1,9.0,SWEET BEAN(S205),J Moreira,C Fownes,120.0,995.0,4.0,-,6 5 5 5 1,1.51.41,2.4,2015-11-01,1,5,1800,GOOD,YAU TONG HANDICAP,TURF - A COURSE,600000,Happy Valley,糖黐豆(S205),莫雷拉,方嘉柏,1,好地,油塘讓賽,草地 - A 賽道,跑馬地
